a, r, p, (r*a)%p, add ,sub, shift, even, neg, loop, fbr, sbr, tbr
18 17 61 1 8 28 20 8 0 15 4 4 7
19 45 61 1 5 22 20 8 0 13 4 4 5
20 58 61 1 1 8 5 2 0 4 1 1 2
21 32 61 1 7 12 18 7 0 11 4 3 4
22 25 61 1 6 14 18 7 0 11 3 4 4
23 8 61 1 5 11 13 5 0 8 2 3 3
24 28 61 1 9 15 18 7 0 11 3 4 4
25 22 61 1 4 13 16 6 0 9 2 4 3
26 54 61 1 3 13 10 4 0 7 2 2 3
27 52 61 1 2 9 11 4 0 6 3 1 2
28 24 61 1 6 15 18 7 0 11 3 4 4
29 40 61 1 4 13 18 7 0 10 4 3 3
30 59 61 1 0 5 3 1 0 2 0 1 1
31 2 61 1 0 4 3 1 0 2 0 1 1
32 21 61 1 10 18 20 8 0 13 4 4 5
33 37 61 1 10 18 18 7 0 12 3 4 5
34 9 61 1 10 21 15 6 0 12 3 3 6
35 7 61 1 6 14 8 3 0 7 2 1 4
36 39 61 1 5 22 20 8 0 13 4 4 5
37 33 61 1 9 18 20 8 0 13 4 4 5
38 53 61 1 7 19 15 6 0 11 3 3 5
39 36 61 1 7 15 18 7 0 11 4 3 4
40 29 61 1 7 16 18 7 0 11 3 4 4
41 3 61 1 1 9 3 1 0 3 1 0 2
42 16 61 1 5 18 20 8 0 13 4 4 5
43 44 61 1 7 21 18 7 0 13 4 3 6
44 43 61 1 5 20 20 8 0 13 4 4 5
45 19 61 1 4 19 16 6 0 11 4 2 5
46 4 61 1 5 11 10 4 0 7 2 2 3
47 13 61 1 8 16 13 5 0 9 3 2 4
48 14 61 1 9 15 15 6 0 10 3 3 4
49 5 61 1 2 10 6 2 0 4 2 0 2
50 11 61 1 4 13 13 5 0 8 2 3 3
51 6 61 1 3 13 10 4 0 7 2 2 3
52 27 61 1 6 16 16 6 0 10 2 4 4
53 38 61 1 8 20 18 7 0 12 4 3 5
54 26 61 1 8 15 20 8 0 12 4 4 4
55 10 61 1 4 14 15 6 0 9 3 3 3
56 12 61 1 6 15 15 6 0 10 3 3 4
57 15 61 1 3 18 13 5 0 9 3 2 4
58 20 61 1 7 16 20 8 0 12 4 4 4
59 30 61 1 5 22 20 8 0 13 4 4 5
60 60 61 1 0 4 0 0 0 1 0 0 1
2 34 67 1 3 10 25 10 0 12 5 5 2
3 45 67 1 6 10 23 9 0 12 4 5 3
4 17 67 1 6 13 25 10 0 13 5 5 3
5 27 67 1 7 13 23 9 0 12 5 4 3
6 56 67 1 6 9 20 8 0 11 4 4 3
7 48 67 1 7 13 23 9 0 13 5 4 4
8 42 67 1 7 17 25 10 0 14 5 5 4
9 15 67 1 4 9 18 7 0 9 4 3 2
10 47 67 1 8 17 25 10 0 14 5 5 4
11 61 67 1 3 7 13 5 0 7 2 3 2
12 28 67 1 8 12 23 9 0 13 4 5 4
13 31 67 1 6 21 23 9 0 14 5 4 5
14 24 67 1 11 17 25 10 0 15 5 5 5
15 9 67 1 4 13 18 7 0 10 4 3 3
16 21 67 1 9 20 25 10 0 15 5 5 5
17 4 67 1 0 4 6 2 0 3 0 2 1
18 41 67 1 6 14 23 9 0 12 4 5 3
19 60 67 1 4 7 13 5 0 7 3 2 2
20 57 67 1 6 13 18 7 0 10 3 4 3
21 16 67 1 4 14 20 8 0 12 4 4 4
22 64 67 1 3 6 10 4 0 6 2 2 2
23 35 67 1 11 17 25 10 0 15 5 5 5
24 14 67 1 8 12 20 8 0 12 4 4 4
25 59 67 1 8 17 15 6 0 11 3 3 5
26 49 67 1 13 23 25 10 0 17 5 5 7
27 5 67 1 4 11 13 5 0 8 3 2 3
28 12 67 1 5 16 18 7 0 11 3 4 4
29 37 67 1 11 21 25 10 0 16 5 5 6
30 38 67 1 6 22 25 10 0 15 5 5 5
31 13 67 1 5 15 18 7 0 11 4 3 4
32 44 67 1 10 24 25 10 0 16 5 5 6
33 65 67 1 0 5 3 1 0 2 0 1 1
34 2 67 1 0 4 3 1 0 2 0 1 1
35 23 67 1 7 12 21 8 0 11 5 3 3
36 54 67 1 6 13 20 8 0 11 4 4 3
37 29 67 1 9 21 23 9 0 15 5 4 6
38 30 67 1 9 12 21 8 0 11 3 5 3
39 55 67 1 6 12 18 7 0 10 3 4 3
40 62 67 1 6 12 15 6 0 9 3 3 3
41 18 67 1 13 24 25 10 0 17 5 5 7
42 8 67 1 7 8 13 5 0 8 2 3 3
43 53 67 1 7 10 16 6 0 9 2 4 3
44 32 67 1 10 10 23 9 0 13 4 5 4
45 3 67 1 3 8 8 3 0 5 2 1 2
46 51 67 1 5 18 18 7 0 11 3 4 4
47 10 67 1 5 11 16 6 0 9 2 4 3
48 7 67 1 5 16 15 6 0 10 3 3 4
49 26 67 1 6 20 23 9 0 14 4 5 5
50 63 67 1 4 16 10 4 0 8 2 2 4
51 46 67 1 7 22 23 9 0 15 5 4 6
52 58 67 1 10 20 20 8 0 14 4 4 6
53 43 67 1 11 17 25 10 0 15 5 5 5
54 36 67 1 7 20 23 9 0 14 4 5 5
55 39 67 1 12 22 25 10 0 16 5 5 6
56 6 67 1 5 16 15 6 0 10 3 3 4
57 20 67 1 10 21 25 10 0 16 5 5 6
58 52 67 1 6 20 18 7 0 12 3 4 5
59 25 67 1 9 24 21 8 0 14 5 3 6
60 19 67 1 8 24 25 10 0 16 5 5 6
61 11 67 1 5 17 18 7 0 11 4 3 4
62 40 67 1 6 20 23 9 0 14 4 5 5
63 50 67 1 9 28 23 9 0 16 5 4 7
64 22 67 1 12 26 25 10 0 17 5 5 7
65 33 67 1 3 11 15 5 0 7 5 0 2
66 66 67 1 0 4 0 0 0 1 0 0 1
2 36 71 1 2 13 25 10 0 13 5 5 3
3 24 71 1 3 8 19 7 0 9 2 5 2
4 18 71 1 5 16 25 10 0 14 5 5 4
5 57 71 1 3 7 18 7 0 9 3 4 2
6 12 71 1 3 8 16 6 0 8 2 4 2
7 61 71 1 3 12 18 7 0 10 3 4 3
8 9 71 1 5 12 20 8 0 11 4 4 3
9 8 71 1 0 4 9 3 0 4 0 3 1
10 64 71 1 3 6 15 6 0 8 3 3 2
11 13 71 1 4 12 18 7 0 10 4 3 3
12 6 71 1 3 8 13 5 0 7 2 3 2
13 11 71 1 6 14 18 7 0 11 4 3 4
14 66 71 1 3 11 15 6 0 9 3 3 3
15 19 71 1 8 22 23 9 0 15 5 4 6
16 40 71 1 8 20 25 10 0 15 5 5 5
17 46 71 1 6 15 23 9 0 12 5 4 3
18 4 71 1 0 4 6 2 0 3 0 2 1
19 15 71 1 4 9 16 6 0 8 4 2 2
20 32 71 1 8 8 21 8 0 11 3 5 3
21 44 71 1 5 16 23 9 0 13 5 4 4
22 42 71 1 5 17 23 9 0 13 4 5 4
23 34 71 1 5 20 25 10 0 15 5 5 5
24 3 71 1 3 8 10 4 0 6 2 2 2
25 54 71 1 9 13 18 7 0 11 4 3 4
26 1319 71 1 8 25 25 10 0 16 5 5 6
27 50 71 1 11 22 23 9 0 16 5 4 7
28 33 71 1 12 18 25 10 0 16 5 5 6
29 49 71 1 5 17 21 8 0 12 3 5 4
30 45 71 1 7 28 25 10 0 17 5 5 7
31 55 71 1 8 23 20 8 0 14 4 4 6
32 20 71 1 11 23 25 10 0 16 5 5 6
33 28 71 1 8 22 25 10 0 15 5 5 5
34 23 71 1 9 17 25 10 0 14 5 5 4
35 69 71 1 0 5 3 1 0 2 0 1 1
36 2 71 1 0 4 3 1 0 2 0 1 1
37 48 71 1 6 11 21 8 0 11 5 3 3
38 43 71 1 7 12 23 9 0 12 4 5 3
39 51 71 1 9 19 23 9 0 14 4 5 5
40 16 71 1 8 8 18 7 0 10 3 4 3
41 26 71 1 6 12 21 8 0 11 3 5 3
42 22 71 1 8 18 25 10 0 15 5 5 5
43 38 71 1 12 19 23 9 0 15 5 4 6
44 21 71 1 11 18 25 10 0 15 5 5 5
45 30 71 1 11 26 25 10 0 17 5 5 7
46 17 71 1 11 13 20 8 0 12 4 4 4
47 68 71 1 3 6 8 3 0 5 2 1 2
48 37 71 1 7 17 21 8 0 12 3 5 4
49 29 71 1 7 20 23 9 0 14 5 4 5
50 27 71 1 8 23 23 9 0 15 4 5 6
51 39 71 1 10 23 25 10 0 16 5 5 6
52 56 71 1 10 26 20 8 0 15 4 4 7
53 67 71 1 4 16 10 4 0 8 2 2 4
54 25 71 1 13 24 25 10 0 17 5 5 7
55 31 71 1 9 29 23 9 0 16 5 4 7
56 52 71 1 12 22 25 10 0 17 5 5 7
57 5 71 1 3 12 11 4 0 7 3 1 3
58 60 71 1 5 16 18 7 0 11 3 4 4
59 65 71 1 5 16 15 6 0 10 3 3 4
60 58 71 1 7 18 18 7 0 12 3 4 5
61 7 71 1 5 16 13 5 0 9 3 2 4
62 63 71 1 5 22 15 6 0 11 3 3 5
63 62 71 1 8 24 18 7 0 13 4 3 6
64 10 71 1 9 19 20 8 0 13 4 4 5
65 59 71 1 9 15 20 8 0 12 4 4 4
66 14 71 1 9 16 20 8 0 12 4 4 4
67 53 71 1 9 18 25 10 0 14 5 5 4
68 47 71 1 10 20 25 10 0 15 5 5 5
69 35 71 1 5 16 23 9 0 12 5 4 3
70 70 71 1 0 4 0 0 0 1 0 0 1
2 37 73 1 3 10 21 8 0 10 3 5 2
3 49 73 1 4 10 19 7 0 9 2 5 2
4 55 73 1 3 9 18 7 0 9 3 4 2
5 44 73 1 7 10 23 9 0 12 5 4 3
6 61 73 1 4 9 16 6 0 8 2 4 2
7 21 73 1 7 19 23 9 0 14 5 4 5
8 64 73 1 3 8 15 6 0 8 3 3 2
9 65 73 1 0 7 9 3 0 4 0 3 1
10 22 73 1 10 20 25 10 0 15 5 5 5
11 20 73 1 10 17 25 10 0 15 5 5 5
12 67 73 1 4 8 13 5 0 7 2 3 2
13 45 73 1 10 15 23 9 0 13 4 5 4
14 47 73 1 9 23 25 10 0 16 5 5 6
15 39 73 1 11 18 25 10 0 16 5 5 6
16 32 73 1 6 11 21 8 0 11 3 5 3
17 43 73 1 6 13 23 9 0 12 4 5 3
18 69 73 1 0 6 6 2 0 3 0 2 1
19 50 73 1 6 14 23 9 0 12 5 4 3
20 11 73 1 8 15 20 8 0 12 4 4 4
21 7 73 1 5 7 13 5 0 7 3 2 2
22 10 73 1 10 19 20 8 0 13 4 4 5
23 54 73 1 8 19 23 9 0 14 5 4 5
24 70 73 1 4 7 10 4 0 6 2 2 2
25 38 73 1 9 13 21 8 0 12 5 3 4
26 59 73 1 10 14 20 8 0 12 4 4 4
27 46 73 1 12 19 21 8 0 14 5 3 6
28 60 73 1 11 16 18 7 0 12 3 4 5
29 68 73 1 5 11 13 5 0 8 3 2 3
30 56 73 1 5 19 20 8 0 13 4 4 5
31 33 73 1 5 21 21 8 0 13 5 3 5
32 16 73 1 6 11 18 7 0 10 3 4 3
33 31 73 1 7 22 23 9 0 14 5 4 5
34 58 73 1 6 12 20 8 0 11 4 4 3
35 48 73 1 6 11 21 8 0 11 5 3 3
36 71 73 1 0 5 3 1 0 2 0 1 1
37 2 73 1 0 4 3 1 0 2 0 1 1
38 25 73 1 9 16 25 10 0 14 5 5 4
39 15 73 1 5 8 14 5 0 7 4 1 2
40 42 73 1 10 22 25 10 0 16 5 5 6
41 57 73 1 8 12 18 7 0 10 3 4 3
42 40 73 1 8 16 25 10 0 14 5 5 4
43 17 73 1 7 18 18 7 0 11 4 3 4
44 5 73 1 8 14 15 6 0 10 3 3 4
45 13 73 1 8 15 18 7 0 11 4 3 4
46 27 73 1 12 21 25 10 0 16 5 5 6
47 14 73 1 7 9 16 6 0 9 2 4 3
48 35 73 1 13 17 25 10 0 15 5 5 5
49 3 73 1 4 7 8 3 0 5 2 1 2
50 19 73 1 8 23 25 10 0 16 5 5 6
51 63 73 1 5 12 16 6 0 9 2 4 3
52 66 73 1 5 16 15 6 0 10 3 3 4
53 62 73 1 7 17 18 7 0 12 4 3 5
54 23 73 1 11 28 25 10 0 18 5 5 8
55 4 73 1 4 14 10 4 0 8 2 2 4
56 30 73 1 10 20 23 9 0 15 4 5 6
57 41 73 1 16 31 25 10 0 19 5 5 9
58 34 73 1 13 20 25 10 0 16 5 5 6
59 26 73 1 7 21 25 10 0 15 5 5 5
60 28 73 1 9 22 23 9 0 15 4 5 6
61 6 73 1 5 15 15 6 0 10 3 3 4
62 53 73 1 12 26 25 10 0 17 5 5 7
63 51 73 1 10 23 25 10 0 16 5 5 6
64 8 73 1 6 11 15 6 0 9 3 3 3
65 9 73 1 3 11 9 3 0 5 3 0 2
66 52 73 1 11 25 25 10 0 17 5 5 7
67 12 73 1 9 14 20 8 0 12 4 4 4
68 29 73 1 10 16 23 9 0 13 4 5 4
69 18 73 1 5 15 20 8 0 11 4 4 3
70 24 73 1 10 14 25 10 0 14 5 5 4
71 36 73 1 6 20 25 10 0 14 5 5 4
72 72 73 1 0 4 0 0 0 1 0 0 1
2 40 79 1 2 17 25 10 0 14 5 5 4
3 53 79 1 3 12 23 9 0 12 4 5 3
4 20 79 1 4 20 25 10 0 15 5 5 5
5 16 79 1 0 4 12 4 0 5 0 4 1
6 66 79 1 3 11 20 8 0 11 4 4 3
7 34 79 1 6 21 25 10 0 16 5 5 6
8 10 79 1 4 16 20 8 0 12 4 4 4
9 44 79 1 6 14 23 9 0 13 5 4 4
10 8 79 1 0 4 9 3 0 4 0 3 1
11 36 79 1 5 15 25 10 0 14 5 5 4
12 33 79 1 9 16 25 10 0 15 5 5 5
13 73 79 1 3 7 13 5 0 7 2 3 2
14 17 79 1 8 15 20 8 0 13 4 4 5
15 58 79 1 8 25 23 9 0 16 5 4 7
16 5 79 1 4 12 15 6 0 9 3 3 3
17 14 79 1 5 13 18 7 0 10 3 4 3
18 22 79 1 8 23 25 10 0 16 5 5 6
19 25 79 1 6 13 23 9 0 12 5 4 3
20 4 79 1 0 4 6 2 0 3 0 2 1
21 64 79 1 3 6 16 6 0 8 4 2 2
22 18 79 1 7 9 18 7 0 10 3 4 3
23 55 79 1 6 13 21 8 0 11 3 5 3
24 56 79 1 9 20 25 10 0 16 5 5 6
25 19 79 1 4 16 18 7 0 11 4 3 4
26 76 79 1 3 6 10 4 0 6 2 2 2
27 41 79 1 12 16 25 10 0 15 5 5 5
28 48 79 1 9 19 23 9 0 15 4 5 6
29 30 79 1 10 27 23 9 0 16 4 5 7
30 29 79 1 14 26 25 10 0 18 5 5 8
31 51 79 1 12 19 25 10 0 16 5 5 6
32 42 79 1 8 24 25 10 0 16 5 5 6
33 12 79 1 6 16 18 7 0 11 3 4 4
34 7 79 1 5 13 15 6 0 9 3 3 3
35 70 79 1 1 10 11 4 0 6 3 1 2
36 11 79 1 8 19 20 8 0 13 4 4 5
37 47 79 1 7 16 23 9 0 12 4 5 3
38 52 79 1 8 17 25 10 0 14 5 5 4
39 77 79 1 0 5 3 1 0 2 0 1 1
40 2 79 1 0 4 3 1 0 2 0 1 1
41 27 79 1 7 13 23 9 0 12 5 4 3
42 32 79 1 9 8 23 9 0 12 4 5 3
43 68 79 1 5 11 18 7 0 10 4 3 3
44 9 79 1 7 9 15 6 0 9 3 3 3
45 72 79 1 3 6 11 4 0 6 3 1 2
46 67 79 1 6 12 18 7 0 10 3 4 3
47 37 79 1 6 21 23 9 0 14 5 4 5
48 28 79 1 14 20 25 10 0 16 5 5 6
49 50 79 1 9 14 21 8 0 12 5 3 4
50 49 79 1 12 16 23 9 0 14 4 5 5
51 31 79 1 12 15 23 9 0 13 5 4 4
52 38 79 1 12 13 21 8 0 12 3 5 4
53 3 79 1 3 8 8 3 0 5 2 1 2
54 60 79 1 8 20 20 8 0 13 4 4 5
55 23 79 1 8 17 23 9 0 13 5 4 4
56 24 79 1 10 23 25 10 0 16 5 5 6
57 61 79 1 11 22 20 8 0 14 4 4 6
58 15 79 1 8 24 20 8 0 14 4 4 6
59 75 79 1 4 16 10 4 0 8 2 2 4
60 54 79 1 10 24 25 10 0 16 5 5 6
61 57 79 1 9 23 23 9 0 15 4 5 6
62 65 79 1 10 21 18 7 0 13 3 4 6
63 74 79 1 7 18 13 5 0 10 3 2 5
64 21 79 1 11 27 25 10 0 17 5 5 7
65 62 79 1 6 21 18 7 0 12 4 3 5
66 6 79 1 6 16 15 6 0 10 3 3 4
67 46 79 1 12 19 23 9 0 14 5 4 5
68 43 79 1 9 21 25 10 0 15 5 5 5
69 71 79 1 6 14 15 6 0 9 3 3 3
70 35 79 1 7 13 21 8 0 11 3 5 3
71 69 79 1 8 17 20 8 0 12 4 4 4
72 45 79 1 11 27 25 10 0 17 5 5 7
73 13 79 1 5 13 16 6 0 9 4 2 3
74 63 79 1 7 15 20 8 0 11 4 4 3
75 59 79 1 8 22 25 10 0 15 5 5 5
76 26 79 1 10 20 25 10 0 15 5 5 5
77 39 79 1 7 19 23 9 0 13 5 4 4
78 78 79 1 0 4 0 0 0 1 0 0 1
2 42 83 1 2 14 25 10 0 13 5 5 3
3 28 83 1 4 8 21 8 0 10 3 5 2
4 21 83 1 4 16 25 10 0 14 5 5 4
5 50 83 1 2 11 23 9 0 11 5 4 2
6 14 83 1 4 8 18 7 0 9 3 4 2
7 12 83 1 3 8 16 6 0 8 2 4 2
8 52 83 1 5 19 25 10 0 15 5 5 5
9 37 83 1 2 15 21 8 0 11 5 3 3
10 25 83 1 6 14 25 10 0 13 5 5 3
11 68 83 1 4 7 18 7 0 9 4 3 2
12 7 83 1 4 8 15 6 0 8 3 3 2
13 32 83 1 4 14 23 9 0 13 4 5 4
14 6 83 1 3 8 13 5 0 7 2 3 2
15 72 83 1 6 13 18 7 0 11 4 3 4
16 26 83 1 7 21 25 10 0 16 5 5 6
17 44 83 1 11 19 23 9 0 14 5 4 5
18 60 83 1 9 19 25 10 0 15 5 5 5
19 35 83 1 6 22 23 9 0 14 5 4 5
20 54 83 1 6 17 25 10 0 14 5 5 4
21 4 83 1 0 4 6 2 0 3 0 2 1
22 34 83 1 8 10 23 9 0 12 4 5 3
23 65 83 1 8 11 18 7 0 10 3 4 3
24 211 83 1 7 19 23 9 0 13 4 5 4
25 10 83 1 4 15 15 6 0 10 3 3 4
26 16 83 1 4 14 20 8 0 12 4 4 4
27 40 83 1 5 19 25 10 0 15 5 5 5
28 3 83 1 3 8 10 4 0 6 2 2 2
29 63 83 1 10 19 20 8 0 14 4 4 6
30 36 83 1 11 19 25 10 0 16 5 5 6
31 75 83 1 8 17 15 6 0 11 3 3 5
32 13 83 1 6 15 20 8 0 12 4 4 4
33 78 83 1 1 9 8 3 0 5 2 1 2
34 22 83 1 11 29 25 10 0 17 5 5 7
35 19 83 1 7 23 18 7 0 12 4 3 5
36 30 83 1 11 22 25 10 0 16 5 5 6
37 9 83 1 2 10 11 4 0 6 3 1 2
38 59 83 1 11 25 25 10 0 17 5 5 7
39 66 83 1 2 10 14 5 0 7 4 1 2
40 27 83 1 9 20 25 10 0 15 5 5 5
41 81 83 1 0 5 3 1 0 2 0 1 1
42 2 83 1 0 4 3 1 0 2 0 1 1
43 56 83 1 6 12 23 9 0 12 5 4 3
44 17 83 1 8 10 20 8 0 11 4 4 3
45 24 83 1 9 14 23 9 0 13 4 5 4
46 74 83 1 8 10 15 6 0 9 3 3 3
47 53 83 1 9 11 21 8 0 11 3 5 3
48 147 83 1 7 18 20 8 0 12 4 4 4
49 61 83 1 11 22 25 10 0 16 5 5 6
50 5 83 1 6 9 10 4 0 7 2 2 3
51 70 83 1 7 15 18 7 0 11 4 3 4
52 8 83 1 7 8 13 5 0 8 2 3 3
53 47 83 1 12 20 25 10 0 16 5 5 6
54 20 83 1 9 11 18 7 0 11 3 4 4
55 80 83 1 3 6 8 3 0 5 2 1 2
56 43 83 1 6 22 23 9 0 14 4 5 5
57 67 83 1 5 18 18 7 0 11 3 4 4
58 73 83 1 4 20 15 6 0 11 3 3 5
59 38 83 1 7 27 25 10 0 16 5 5 6
60 18 83 1 9 21 20 8 0 14 4 4 6
61 49 83 1 7 23 23 9 0 15 4 5 6
62 79 83 1 4 16 10 4 0 8 2 2 4
63 29 83 1 7 19 19 7 0 12 5 2 5
64 48 83 1 7 19 23 9 0 14 4 5 5
65 23 83 1 10 24 23 9 0 15 5 4 6
66 39 83 1 7 13 19 7 0 10 2 5 3
67 57 83 1 11 24 25 10 0 16 5 5 6
68 11 83 1 9 24 20 8 0 14 4 4 6
69 77 83 1 6 16 15 6 0 10 3 3 4
70 51 83 1 11 28 23 9 0 16 4 5 7
71 76 83 1 6 12 13 5 0 8 3 2 3
72 15 83 1 7 18 18 7 0 11 3 4 4
73 58 83 1 10 18 23 9 0 14 5 4 5
74 46 83 1 6 14 21 8 0 11 3 5 3
75 31 83 1 7 18 21 8 0 12 5 3 4
76 71 83 1 9 22 20 8 0 14 4 4 6
77 69 83 1 7 17 20 8 0 12 4 4 4
78 33 83 1 8 13 23 9 0 12 4 5 3
79 62 83 1 7 21 23 9 0 14 5 4 5
80 55 83 1 10 24 25 10 0 16 5 5 6
81 41 83 1 4 15 19 7 0 10 5 2 3
82 82 83 1 0 4 0 0 0 1 0 0 1
2 45 89 1 5 14 21 8 0 11 3 5 3
3 30 89 1 5 8 23 9 0 11 4 5 2
4 67 89 1 5 13 18 7 0 10 3 4 3
5 18 89 1 3 11 18 7 0 9 3 4 2
6 15 89 1 5 8 20 8 0 10 4 4 2
7 51 89 1 11 18 25 10 0 15 5 5 5
8 78 89 1 5 12 15 6 0 9 3 3 3
9 10 89 1 2 10 13 5 0 7 2 3 2
10 9 89 1 3 11 15 6 0 8 3 3 2
11 81 89 1 0 7 9 3 0 4 0 3 1
12 52 89 1 6 16 25 10 0 14 5 5 4
13 48 89 1 11 13 23 9 0 13 5 4 4
14 70 89 1 5 16 20 8 0 12 4 4 4
15 6 89 1 4 7 13 5 0 7 2 3 2
16 39 89 1 6 17 21 8 0 12 3 5 4
17 21 89 1 3 15 16 6 0 9 4 2 3
18 5 89 1 2 10 10 4 0 6 2 2 2
19 75 89 1 6 14 18 7 0 10 3 4 3
20 49 89 1 4 15 21 8 0 11 3 5 3
21 17 89 1 3 11 16 6 0 8 4 2 2
22 85 89 1 0 6 6 2 0 3 0 2 1
23 31 89 1 6 8 19 7 0 9 5 2 2
24 26 89 1 8 19 25 10 0 15 5 5 5
25 57 89 1 8 13 21 8 0 11 3 5 3
26 24 89 1 10 22 25 10 0 16 5 5 6
27 33 89 1 7 20 21 8 0 13 5 3 5
28 35 89 1 9 18 23 9 0 14 4 5 5
29 43 89 1 8 21 23 9 0 14 5 4 5
30 3 89 1 4 7 10 4 0 6 2 2 2
31 23 89 1 14 23 23 9 0 16 5 4 7
32 64 89 1 12 25 25 10 0 18 5 5 8
33 27 89 1 6 18 21 8 0 12 5 3 4
34 55 89 1 9 19 23 9 0 14 4 5 5
35 28 89 1 6 16 23 9 0 13 4 5 4
36 47 89 1 4 15 19 7 0 10 2 5 3
37 77 89 1 6 18 18 7 0 11 3 4 4
38 82 89 1 6 13 15 6 0 9 3 3 3
39 16 89 1 6 11 18 7 0 10 3 4 3
40 69 89 1 4 14 18 7 0 10 3 4 3
41 76 89 1 6 11 18 7 0 10 4 3 3
42 53 89 1 5 14 23 9 0 12 4 5 3
43 29 89 1 7 14 23 9 0 12 5 4 3
44 87 89 1 0 5 3 1 0 2 0 1 1
45 2 89 1 0 4 3 1 0 2 0 1 1
46 60 89 1 8 11 25 10 0 13 5 5 3
47 36 89 1 9 20 25 10 0 15 5 5 5
48 13 89 1 8 15 20 8 0 12 4 4 4
49 20 89 1 9 19 20 8 0 13 4 4 5
50 73 89 1 8 12 18 7 0 10 3 4 3
51 7 89 1 5 7 11 4 0 6 3 1 2
52 12 89 1 10 18 20 8 0 13 4 4 5
53 42 89 1 11 19 25 10 0 15 5 5 5
54 61 89 1 15 26 25 10 0 17 5 5 7
55 34 89 1 8 19 23 9 0 14 4 5 5
56 62 89 1 11 17 25 10 0 15 5 5 5
57 25 89 1 9 17 23 9 0 13 5 4 4
58 66 89 1 14 21 25 10 0 16 5 5 6
59 86 89 1 4 7 8 3 0 5 2 1 2
60 3161 89 1 8 27 25 10 0 16 5 5 6
61 54 89 1 8 23 23 9 0 15 5 4 6
62 56 89 1 7 29 25 10 0 18 5 5 8
63 65 89 1 7 28 25 10 0 17 5 5 7
64 32 89 1 10 19 25 10 0 16 5 5 6
65 63 89 1 8 21 23 9 0 14 4 5 5
66 58 89 1 9 22 25 10 0 15 5 5 5
67 4 89 1 5 11 10 4 0 7 2 2 3
68 72 89 1 9 18 20 8 0 13 4 4 5
69 40 89 1 7 20 25 10 0 15 5 5 5
70 14 89 1 6 16 20 8 0 12 4 4 4
71 84 89 1 2 8 6 2 0 4 2 0 2
72 68 89 1 4 14 16 6 0 9 2 4 3
73 50 89 1 6 18 21 8 0 12 5 3 4
74 83 89 1 6 17 15 6 0 10 3 3 4
75 19 89 1 10 21 18 7 0 13 4 3 6
76 41 89 1 11 19 23 9 0 14 4 5 5
77 37 89 1 7 22 23 9 0 14 5 4 5
78 8 89 1 6 11 15 6 0 9 3 3 3
79 80 89 1 3 8 9 3 0 5 3 0 2
80 79 89 1 4 13 15 6 0 9 3 3 3
81 11 89 1 4 14 13 5 0 8 3 2 3
82 38 89 1 11 17 25 10 0 15 5 5 5
83 74 89 1 6 12 18 7 0 10 4 3 3
84 71 89 1 5 13 20 8 0 11 4 4 3
85 22 89 1 5 18 20 8 0 12 4 4 4
86 59 89 1 8 17 25 10 0 14 5 5 4
87 44 89 1 6 22 25 10 0 15 5 5 5
88 88 89 1 0 4 0 0 0 1 0 0 1
2 49 97 1 1 12 17 6 0 8 1 5 2
3 65 97 1 0 9 15 5 0 6 0 5 1
4 73 97 1 1 11 14 5 0 7 1 4 2
5 39 97 1 7 13 23 9 0 12 5 4 3
6 81 97 1 0 8 12 4 0 5 0 4 1
7 14 97 1 5 7 18 7 0 9 3 4 2
8 85 97 1 1 10 11 4 0 6 1 3 2
9 54 97 1 8 19 23 9 0 14 5 4 5
10 68 97 1 8 17 25 10 0 14 5 5 4
11 53 97 1 10 15 25 10 0 14 5 5 4
12 89 97 1 0 7 9 3 0 4 0 3 1
13 15 97 1 6 7 18 7 0 9 4 3 2
14 7 97 1 5 7 15 6 0 8 3 3 2
15 13 97 1 6 12 18 7 0 10 4 3 3
16 91 97 1 1 9 8 3 0 5 1 2 2
17 40 97 1 7 25 25 10 0 16 5 5 6
18 27 97 1 11 28 25 10 0 17 5 5 7
19 46 97 1 6 19 25 10 0 14 5 5 4
20 34 97 1 10 20 25 10 0 15 5 5 5
21 37 97 1 9 17 23 9 0 13 5 4 4
22 75 97 1 4 14 18 7 0 10 3 4 3
23 38 97 1 5 15 23 9 0 12 4 5 3
24 93 97 1 0 6 6 2 0 3 0 2 1
25 66 97 1 7 10 19 7 0 9 5 2 2
26 929 97 1 7 19 25 10 0 14 5 5 4
27 18 97 1 8 12 18 7 0 10 3 4 3
28 1313 97 1 6 23 25 10 0 15 5 5 5
29 87 97 1 5 15 15 6 0 10 3 3 4
30 55 97 1 7 20 25 10 0 15 5 5 5
31 72 97 1 9 22 23 9 0 15 5 4 6
32 94 97 1 1 8 5 2 0 4 1 1 2
33 50 97 1 15 22 23 9 0 15 5 4 6
34 20 97 1 12 18 20 8 0 13 4 4 5
35 61 97 1 15 24 25 10 0 17 5 5 7
36 62 97 1 9 20 25 10 0 15 5 5 5
37 21 97 1 8 16 18 7 0 11 4 3 4
38 23 97 1 8 15 20 8 0 12 4 4 4
39 5 97 1 2 10 8 3 0 5 2 1 2
40 17 97 1 6 18 20 8 0 12 4 4 4
41 71 97 1 10 28 25 10 0 17 5 5 7
42 67 97 1 11 21 25 10 0 15 5 5 5
43 88 97 1 3 8 11 4 0 6 3 1 2
44 86 97 1 4 13 15 6 0 9 3 3 3
